==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, lr=0.0003, margin=0.3, max_epoch=60, num_instances=4, optim='adam', print_freq=10, resume='', root='E:\\files\\programming\\dataset\\reid', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=60, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 0
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [6][50/93]	Time 0.113 (0.233)	Data 0.038 (0.155)	Loss 6.7323 (6.7391)	
Epoch: [6][60/93]	Time 0.115 (0.213)	Data 0.038 (0.136)	Loss 6.9090 (6.7492)	
Epoch: [6][70/93]	Time 0.111 (0.199)	Data 0.037 (0.122)	Loss 6.7588 (6.7656)	
Epoch: [6][80/93]	Time 0.111 (0.188)	Data 0.038 (0.111)	Loss 6.7853 (6.7792)	
Epoch: [6][90/93]	Time 0.116 (0.179)	Data 0.040 (0.103)	Loss 7.2229 (6.7981)	
Epoch: [7][10/93]	Time 0.109 (0.703)	Data 0.036 (0.616)	Loss 6.6152 (6.6261)	
Epoch: [7][20/93]	Time 0.111 (0.407)	Data 0.037 (0.327)	Loss 6.8944 (6.6528)	
Epoch: [7][30/93]	Time 0.118 (0.309)	Data 0.042 (0.231)	Loss 7.2879 (6.6892)	
Epoch: [7][40/93]	Time 0.112 (0.260)	Data 0.038 (0.182)	Loss 7.3641 (6.7337)	
Epoch: [7][50/93]	Time 0.110 (0.230)	Data 0.037 (0.153)	Loss 6.8764 (6.7682)	
Epoch: [7][60/93]	Time 0.114 (0.211)	Data 0.039 (0.134)	Loss 6.9697 (6.7972)	
Epoch: [7][70/93]	Time 0.115 (0.196)	Data 0.039 (0.120)	Loss 6.9680 (6.8195)	
Epoch: [7][80/93]	Time 0.113 (0.186)	Data 0.037 (0.110)	Loss 6.8941 (6.8362)	
Epoch: [7][90/93]	Time 0.110 (0.178)	Data 0.037 (0.102)	Loss 6.7961 (6.8384)	
Epoch: [8][10/93]	Time 0.123 (0.728)	Data 0.042 (0.631)	Loss 6.6388 (6.5579)	
Epoch: [8][20/93]	Time 0.112 (0.422)	Data 0.038 (0.335)	Loss 6.4584 (6.5849)	
Epoch: [8][30/93]	Time 0.112 (0.321)	Data 0.038 (0.237)	Loss 6.8348 (6.5900)	
Epoch: [8][40/93]	Time 0.110 (0.268)	Data 0.037 (0.187)	Loss 6.5556 (6.6416)	
Epoch: [8][50/93]	Time 0.113 (0.237)	Data 0.040 (0.157)	Loss 6.6715 (6.6655)	
Epoch: [8][60/93]	Time 0.111 (0.216)	Data 0.037 (0.137)	Loss 6.8688 (6.6837)	
Epoch: [8][70/93]	Time 0.109 (0.201)	Data 0.035 (0.123)	Loss 6.7608 (6.7133)	
Epoch: [8][80/93]	Time 0.111 (0.190)	Data 0.037 (0.112)	Loss 6.6306 (6.7188)	
Epoch: [8][90/93]	Time 0.111 (0.181)	Data 0.037 (0.104)	Loss 7.0238 (6.7168)	
Epoch: [9][10/93]	Time 0.112 (0.717)	Data 0.039 (0.625)	Loss 6.2791 (6.4081)	
Epoch: [9][20/93]	Time 0.129 (0.421)	Data 0.046 (0.334)	Loss 6.0348 (6.3784)	
Epoch: [9][30/93]	Time 0.129 (0.323)	Data 0.044 (0.236)	Loss 7.0359 (6.4061)	
Epoch: [9][40/93]	Time 0.127 (0.274)	Data 0.041 (0.188)	Loss 6.4296 (6.4742)	
Epoch: [9][50/93]	Time 0.130 (0.244)	Data 0.044 (0.159)	Loss 6.8513 (6.5235)	
Epoch: [9][60/93]	Time 0.113 (0.224)	Data 0.040 (0.139)	Loss 6.7510 (6.5721)	
Epoch: [9][70/93]	Time 0.113 (0.208)	Data 0.038 (0.124)	Loss 6.6535 (6.6040)	
Epoch: [9][80/93]	Time 0.118 (0.196)	Data 0.040 (0.113)	Loss 6.9982 (6.6381)	
Epoch: [9][90/93]	Time 0.111 (0.187)	Data 0.039 (0.105)	Loss 7.2752 (6.6531)	
Epoch: [10][10/93]	Time 0.112 (0.721)	Data 0.037 (0.632)	Loss 6.3631 (6.3130)	
Epoch: [10][20/93]	Time 0.115 (0.418)	Data 0.039 (0.335)	Loss 5.6882 (6.2196)	
Epoch: [10][30/93]	Time 0.114 (0.316)	Data 0.038 (0.236)	Loss 6.1846 (6.2055)	
Epoch: [10][40/93]	Time 0.113 (0.265)	Data 0.037 (0.187)	Loss 7.3981 (6.3281)	
Epoch: [10][50/93]	Time 0.109 (0.234)	Data 0.037 (0.157)	Loss 6.6229 (6.3866)	
Epoch: [10][60/93]	Time 0.111 (0.214)	Data 0.038 (0.137)	Loss 6.4799 (6.4491)	
Epoch: [10][70/93]	Time 0.113 (0.200)	Data 0.038 (0.123)	Loss 6.8446 (6.4793)	
Epoch: [10][80/93]	Time 0.112 (0.189)	Data 0.037 (0.112)	Loss 7.0420 (6.5141)	
Epoch: [10][90/93]	Time 0.110 (0.180)	Data 0.038 (0.104)	Loss 6.5802 (6.5354)	
Epoch: [11][10/93]	Time 0.111 (0.728)	Data 0.033 (0.633)	Loss 6.2643 (6.1601)	
Epoch: [11][20/93]	Time 0.113 (0.422)	Data 0.036 (0.336)	Loss 6.0321 (6.1449)	
Epoch: [11][30/93]	Time 0.115 (0.319)	Data 0.038 (0.236)	Loss 5.9414 (6.0904)	
Epoch: [11][40/93]	Time 0.114 (0.267)	Data 0.038 (0.186)	Loss 5.7160 (6.0480)	
Epoch: [11][50/93]	Time 0.114 (0.236)	Data 0.037 (0.156)	Loss 6.0174 (6.0581)	
Epoch: [11][60/93]	Time 0.114 (0.216)	Data 0.037 (0.137)	Loss 6.1136 (6.1910)	
Epoch: [11][70/93]	Time 0.114 (0.201)	Data 0.038 (0.122)	Loss 6.3468 (6.2444)	
Epoch: [11][80/93]	Time 0.112 (0.190)	Data 0.036 (0.111)	Loss 6.8567 (6.3013)	
Epoch: [11][90/93]	Time 0.114 (0.181)	Data 0.039 (0.103)	Loss 6.2272 (6.3292)	
Epoch: [12][10/93]	Time 0.119 (0.720)	Data 0.040 (0.627)	Loss 6.1303 (6.0076)	
Epoch: [12][20/93]	Time 0.115 (0.416)	Data 0.036 (0.332)	Loss 5.7374 (5.9780)	
Epoch: [12][30/93]	Time 0.118 (0.315)	Data 0.038 (0.233)	Loss 5.6455 (5.9732)	
Epoch: [12][40/93]	Time 0.112 (0.265)	Data 0.036 (0.184)	Loss 5.7570 (6.0205)	
Epoch: [12][50/93]	Time 0.112 (0.234)	Data 0.038 (0.155)	Loss 6.3055 (6.0718)	
Epoch: [12][60/93]	Time 0.112 (0.213)	Data 0.035 (0.135)	Loss 5.8684 (6.1157)	
Epoch: [12][70/93]	Time 0.110 (0.199)	Data 0.036 (0.121)	Loss 6.0144 (6.1412)	
Epoch: [12][80/93]	Time 0.111 (0.188)	Data 0.037 (0.111)	Loss 5.8825 (6.1390)	
Epoch: [12][90/93]	Time 0.110 (0.180)	Data 0.035 (0.103)	Loss 6.1759 (6.1292)	
Epoch: [13][10/93]	Time 0.113 (0.741)	Data 0.037 (0.634)	Loss 4.9591 (5.2512)	
Epoch: [13][20/93]	Time 0.114 (0.427)	Data 0.037 (0.336)	Loss 5.4666 (5.2864)	
Epoch: [13][30/93]	Time 0.114 (0.322)	Data 0.038 (0.236)	Loss 5.8541 (5.4943)	
Epoch: [13][40/93]	Time 0.114 (0.270)	Data 0.037 (0.186)	Loss 5.4110 (5.5533)	
Epoch: [13][50/93]	Time 0.112 (0.238)	Data 0.037 (0.156)	Loss 5.8260 (5.6211)	
Epoch: [13][60/93]	Time 0.113 (0.217)	Data 0.039 (0.137)	Loss 6.6469 (5.7024)	
Epoch: [13][70/93]	Time 0.112 (0.202)	Data 0.038 (0.122)	Loss 5.9564 (5.7627)	
Epoch: [13][80/93]	Time 0.111 (0.191)	Data 0.036 (0.112)	Loss 5.7368 (5.8277)	
Epoch: [13][90/93]	Time 0.111 (0.182)	Data 0.038 (0.103)	Loss 6.2525 (5.8737)	
Epoch: [14][10/93]	Time 0.111 (0.736)	Data 0.035 (0.644)	Loss 5.6993 (5.4262)	
Epoch: [14][20/93]	Time 0.110 (0.424)	Data 0.036 (0.340)	Loss 4.8237 (5.2172)	
Epoch: [14][30/93]	Time 0.113 (0.320)	Data 0.037 (0.239)	Loss 6.2729 (5.2260)	
Epoch: [14][40/93]	Time 0.113 (0.268)	Data 0.038 (0.189)	Loss 5.5849 (5.2695)	
Epoch: [14][50/93]	Time 0.115 (0.237)	Data 0.038 (0.158)	Loss 5.4802 (5.4341)	
Epoch: [14][60/93]	Time 0.110 (0.216)	Data 0.036 (0.138)	Loss 5.6556 (5.5210)	
Epoch: [14][70/93]	Time 0.114 (0.202)	Data 0.036 (0.124)	Loss 5.9168 (5.5763)	
Epoch: [14][80/93]	Time 0.114 (0.190)	Data 0.038 (0.113)	Loss 6.1176 (5.6030)	
Epoch: [14][90/93]	Time 0.112 (0.182)	Data 0.037 (0.105)	Loss 6.2997 (5.6278)	
Epoch: [15][10/93]	Time 0.112 (0.718)	Data 0.036 (0.627)	Loss 4.1873 (4.9462)	
Epoch: [15][20/93]	Time 0.111 (0.415)	Data 0.036 (0.332)	Loss 5.2947 (4.9296)	
Epoch: [15][30/93]	Time 0.112 (0.315)	Data 0.037 (0.234)	Loss 4.9790 (5.0809)	
